record_id,show_no,entry_no,entry_display,horse,horse_display,rider,rider_display,trainer,trainer_display,active
rec01fcLz3gBaOuCk,14907,2961,2961,Evolene De Carles,,Vicente Guillen,Vicente,Vicente Guillen,Vicente Guillen,1
rec04G5QautLKroO5,14907,2535,2535,Lucky Lakota,,Guiliana Itzo,Guiliana,Wendy J. Hechler,Wendy J. Hechler,1
rec04dA4WFyLCjXNw,14907,1675,1675,L.v. Valdrumer,,Nicole Presa Tejada,Nicole,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,1
rec05KksmIMbP4zEb,14907,3099,3099,Cartoon Sd Z,Cartoon,Tanner Korotkin,Tanner,Alan Korotkin,CWF,1
rec07FCmE0osOA0Z0,14907,2128,2128,Changes In Latitude,,Clara Sipple,Clara,Maisie Wagner,Maisie Wagner,1
rec07T9tJS4DHWlU0,14907,1466,1466,Odaya,,Anna Mazor-Allhusen,Anna,Mario Garcia,Mario Garcia,1
rec08Bcdiirsd0shr,14907,1075,1075,Chris B,,Miley Davidyan,Miley,Benjamin J. Meredith,Benjamin J. Meredith,1
rec0EKYIlKuo6e2gz,14907,1438,1438,Comeback Queen,,Mckenzie Badley,Mckenzie,Matthew Le Master,Matthew Le Master,1
rec0MpaYnNju2ExM0,14907,1457,1457,Kamilla,,Olivia Planer,Olivia,Wendy J. Hechler,Wendy J. Hechler,1
rec0NSJSySU5lKsqL,14907,2964,2964,Chillas Z,,Tanner Korotkin,Tanner,Brooklyn Castellano,Brooklyn Castellano,1
rec0OvFLXfoZKvs15,14907,1251,1251,Spice Girl,,Bernadette Sobrino,Bernadette,Erica Robson,Erica Robson,1
rec0RAU78DTJevqhZ,14907,1237,1237,Weebiscuit,Weebiscuit,,,,,1
rec0YULLcir5vLyAM,14907,2215,2215,Happily Ever After,Happily Ever After,,,,,1
rec0jfy8C1BmZlxoY,14907,3333,3333,Hickstead Houdini,Hickstead Houdini,,,,,1
rec0k3WZoyAveK1JI,14907,1286,1286,Sensation Of The North,,Janice Varandas,Janice,Katie Moniz Floyd,Katie Moniz Floyd,1
rec0nIlVrJ81KpK5w,14907,1585,1585,Artic Jt Z,,Captain Brian Cournane,Captain,Captain Brian Cournane,Captain Brian Cournane,1
rec0oB2Jm5zwqXvq5,14907,1796,1796,Blue Hour,Blue Hour,,,,,1
rec0oK3MXB6M3HAF2,14907,1917,1917,Smooth Sailing,,Claire Arnold,Claire,Bryce P. Richardson,Bryce P. Richardson,1
rec0oUzAUaAoWaLAO,14907,1247,1247,Captain Marvel CF,,Erica Robson,Erica,Erica Robson,Erica Robson,1
rec0on3YwJxmy4UfE,14907,2803,2803,Kanai,,Addison Reed,Addison,Addison Reed,Addison Reed,1
rec0sEBbL6j23F5Gs,14907,154,154,Hagelin,,Sharn L. Wordley,Sharn,Sharn L. Wordley,Sharn L. Wordley,1
rec0toyPx9achffXl,14907,2727,2727,Global Ph Cocofino,,Tyla Hackett,Tyla,David Cameron,David Cameron,1
rec0v0WJGnoB5pLrQ,14907,2874,2874,Dropshot Z,,Jordan Petersen,Jordan,Jared P. Petersen,Jared P. Petersen,1
rec15E164n3x0AA8E,14907,1051,1051,Cajou Mm,,Gabriela Mccloskey,Gabriela,Daniela Roy,Daniela Roy,1
rec1K7ICEFCibF2DT,14907,1589,1589,Kali,,Mireya Godoy,Mireya,Juan M. Bolanos,Juan M. Bolanos,1
rec1RAmQjCfnJ2wyW,14907,2827,2827,Lord Carlino,,Alexandra Hird,Alexandra,August Torsilieri,August Torsilieri,1
rec1SQ2DHhXNH2sz5,14907,2231,2231,Rise Above,Rise Above,,,,,1
rec1SyutrvSIrq6RP,14907,1033,1033,Bellingham,Bellingham,,,,,1
rec1VD4ZNQ8xxCGWk,14907,1006,1006,Thompson Ter Doorn Z,,Maria Pantaliao,Maria,Juan Benítez,Juan Benítez,1
rec1VxuMYNOcb6XCM,14907,3161,3161,Dance Partner,Dance Partner,,,,,1
rec1VyzAqhgOS2rK7,14907,2668266826682668,2668266826682668,,,,,,,1
rec1Zg7zQ1vGAkztx,14907,3028,3028,Kingpin,Kingpin,,,,,1
rec1b3XnJ0xwpUVVO,14907,1063,1063,La Fe Frontera,,Cat Zampieri,Cat,Daniela Roy,Daniela Roy,1
rec1dChOEHy9TphqB,14907,173,173,Joint De Canabis Van De Doornhoeve,,Alberto Michan,Alberto,Alberto Michan,Alberto Michan,1
rec1e77tZXkuTZTKx,14907,1525,1525,Checkmate,,Gabriella Savettiere,Gabriella,Jake Evans,Jake Evans,1
rec1eLaySOTVGfZvf,14907,1882,1882,Kara J D'alve Z,,Alexandria Beneson,Alexandria,Thea N. Stinnett,Thea N. Stinnett,1
rec1h9tikxncztApt,14907,1767,1767,Gotham De Chalusse,,Robert Mendoza,Robert,Robert Mendoza,Robert Mendoza,1
rec1jsiwNJbaqTry3,14907,2190,2190,Kennedy,,Izabella Zourdos,Izabella,Kathryn Delaney,Kathryn Delaney,1
rec1kzOSCYINSWMgd,14907,2385,2385,Casa Quo Vadis,,Grace Harrison,Grace,Lisa Hasenbeck,Lisa Hasenbeck,1
rec1oM5ee7kSk9If7,14907,1088,1088,Titan,,Mckenzie Miller,Mckenzie,Conan Conway,Conan Conway,1
rec1skbI5S4rMKr3H,14907,171,171,Chardonnay,,Robert Blanchette,Robert,Tammy Blanchette,Tammy Blanchette,1
rec1uKd2hbaxLdGQz,14907,3410,3410,Marley,Marley,,,,,1
rec1v4wlYLNcNIVGe,14907,1441,1441,Princeton Mk,,Olivia Gaul,Olivia,Matthew Le Master,Matthew Le Master,1
rec1zG5BsIopNkvgJ,14907,1679,1679,Tarzan Z,,Ana Cristina Rodriguez,Ana,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,1
rec20ehq3ynW6QPW7,14907,2541,2541,Fireball,,Lucas Garcia,Lucas,Mario Garcia,Mario Garcia,1
rec26JITyiE4sJMw9,14907,2348,2348,Cupido De Jolie Z,,Katlynn Butler,Katlynn,Katlynn Butler,Katlynn Butler,1
rec26u95qyoi4Zpdx,14907,2573,2573,Ballyforan,,Teresa Martinoli,Teresa,Patrick R. Wilcher,Patrick R. Wilcher,1
rec2C8xe0wSoPWTi8,14907,1092,1092,Over Ruled,,Isabella Keyman,Isabella,Alison Jones,Alison Jones,1
rec2GEDCLqOTD54WW,14907,3217,3217,Sy,Sy,,,,,1
rec2I74RoLLuXjE0g,14907,2086,2086,Psu Krymsun Blue Sky,,Isabella Adams,Isabella,Madison Daughdrill,Madison Daughdrill,1
rec2LVSvJYCzH6ntu,14907,1021,1021,Rover,,Kelly Prather,Kelly,Michael K. Kennedy,Michael K. Kennedy,1
rec2QkcnyX1waK5ev,14907,1591,1591,Irish Coffee Vhl,Coffee,Iliana Palumbo,Iliana,Alan Korotkin,CWF,1
rec2SnUDTF5XK7afR,14907,2294,2294,Onetta Vd Fruitkorf Z,,Bailey P. Tims-Ferira,Bailey,Declan Egan,Declan Egan,1
rec2XKiZ3N0mE6REQ,14907,2894,2894,Try Me,Try Me,,,,,1
rec2aORsCT9oH5I42,14907,3181,3181,Smeagle Van't Eigenlo,Smeagle Van't Eigenlo,,,,,1
rec2alpWgee7dQAmr,14907,2393,2393,United's Choice,,Dana Ventrice,Dana,Dana Ventrice,Dana Ventrice,1
rec2baIfOEJG63TMM,14907,2720,2720,Espresso,,Molly Frei,Molly,Sven Frei,Sven Frei,1
rec2c2MFlF74J1ChD,14907,1072,1072,Volodia D'argouges,,Clara Vidal,Clara,Daniela Roy,Daniela Roy,1
